date;commodity_id;currency;price
2020-01-02;wheat;ARS;10450
2020-01-02;corn;ARS;8350
2020-01-02;sunflower;ARS;13750
2020-01-02;soybeans;ARS;15500
2020-01-02;sorghum;ARS;7750
2020-01-03;sorghum;ARS;7750
2020-01-03;sunflower;ARS;13710
2020-01-03;corn;ARS;8500
2020-01-03;wheat;ARS;10500
2020-01-03;soybeans;ARS;15250
2020-01-06;sorghum;ARS;7750
2020-01-06;sunflower;ARS;13710
2020-01-06;wheat;ARS;10500
2020-01-06;corn;ARS;8650
2020-01-06;soybeans;ARS;15500
2020-01-07;sorghum;ARS;7750
2020-01-07;wheat;ARS;10650
2020-01-07;sunflower;ARS;13710
2020-01-07;corn;ARS;8650
2020-01-07;soybeans;ARS;15400
2020-01-08;sunflower;ARS;13710
2020-01-08;corn;ARS;8830
2020-01-08;soybeans;ARS;15500
2020-01-08;sorghum;ARS;7750
2020-01-08;wheat;ARS;10730
2020-01-09;sunflower;ARS;13890
2020-01-09;soybeans;ARS;15500
2020-01-09;sorghum;ARS;7750
2020-01-09;wheat;ARS;10900
2020-01-09;corn;ARS;9100
2020-01-10;sunflower;ARS;14000
2020-01-10;sorghum;ARS;7750
2020-01-10;soybeans;ARS;15620
2020-01-10;corn;ARS;9240
2020-01-10;wheat;ARS;11000
2020-01-13;sunflower;ARS;14030
2020-01-13;corn;ARS;9250
2020-01-13;soybeans;ARS;15600
2020-01-13;sorghum;ARS;7750
2020-01-13;wheat;ARS;11500
2020-01-14;wheat;ARS;11700
2020-01-14;corn;ARS;9250
2020-01-14;sunflower;ARS;14360
2020-01-14;soybeans;ARS;15700
2020-01-14;sorghum;ARS;7800
2020-01-15;soybeans;ARS;15550
2020-01-15;corn;ARS;9400
2020-01-15;wheat;ARS;11650
2020-01-15;sunflower;ARS;14370
2020-01-15;sorghum;ARS;7800
2020-01-16;corn;ARS;9500
2020-01-16;sunflower;ARS;14400
2020-01-16;wheat;ARS;11650
2020-01-16;sorghum;ARS;7800
2020-01-16;soybeans;ARS;15550
2020-01-17;sunflower;ARS;14400
2020-01-17;wheat;ARS;11600
2020-01-17;soybeans;ARS;15550
2020-01-17;corn;ARS;9500
2020-01-17;sorghum;ARS;7800
2020-01-20;wheat;ARS;11700
2020-01-20;sunflower;ARS;14400
2020-01-20;sorghum;ARS;7800
2020-01-20;corn;ARS;9580
2020-01-20;soybeans;ARS;15680
2020-01-21;sorghum;ARS;7800
2020-01-21;wheat;ARS;11980
2020-01-21;soybeans;ARS;15570
2020-01-21;sunflower;ARS;14550
2020-01-21;corn;ARS;9580
2020-01-22;sunflower;ARS;14670
2020-01-22;corn;ARS;9580
2020-01-22;wheat;ARS;12000
2020-01-22;sorghum;ARS;8000
2020-01-22;soybeans;ARS;15570
2020-01-23;soybeans;ARS;15680
2020-01-23;corn;ARS;9580
2020-01-23;sunflower;ARS;14980
2020-01-23;sorghum;ARS;8000
2020-01-23;wheat;ARS;12200
2020-01-24;sunflower;ARS;14500
2020-01-24;corn;ARS;9600
2020-01-24;soybeans;ARS;15600
2020-01-24;sorghum;ARS;8100
2020-01-24;wheat;ARS;12580
2020-01-27;corn;ARS;9290
2020-01-27;soybeans;ARS;15300
2020-01-27;wheat;ARS;12300
2020-01-27;sorghum;ARS;8100
2020-01-27;sunflower;ARS;14700
2020-01-28;soybeans;ARS;15300
2020-01-28;sorghum;ARS;8100
2020-01-28;corn;ARS;9300
2020-01-28;sunflower;ARS;14700
2020-01-28;wheat;ARS;12300
2020-01-29;soybeans;ARS;15400
2020-01-29;wheat;ARS;12300
2020-01-29;corn;ARS;9300
2020-01-29;sorghum;ARS;8100
2020-01-29;sunflower;ARS;14770
2020-01-30;sunflower;ARS;15000
2020-01-30;corn;ARS;9000
2020-01-30;soybeans;ARS;15100
2020-01-30;sorghum;ARS;8100
2020-01-30;wheat;ARS;12200
2020-01-31;sunflower;ARS;14740
2020-01-31;corn;ARS;9250
2020-01-31;soybeans;ARS;14800
2020-01-31;sorghum;ARS;8100
2020-01-31;wheat;ARS;12000
2020-02-03;corn;ARS;9250
2020-02-03;sunflower;ARS;14770
2020-02-03;soybeans;ARS;14850
2020-02-03;sorghum;ARS;8100
2020-02-03;wheat;ARS;12000
2020-02-04;sunflower;ARS;14800
2020-02-04;corn;ARS;9060
2020-02-04;soybeans;ARS;14900
2020-02-04;sorghum;ARS;8100
2020-02-04;wheat;ARS;12000
2020-02-05;corn;ARS;9060
2020-02-05;sunflower;ARS;14920
2020-02-05;soybeans;ARS;15000
2020-02-05;wheat;ARS;12000
2020-02-05;sorghum;ARS;8100
2020-02-06;soybeans;ARS;14950
2020-02-06;wheat;ARS;12100
2020-02-06;corn;ARS;9100
2020-02-06;sorghum;ARS;8100
2020-02-06;sunflower;ARS;14850
2020-02-07;corn;ARS;9100
2020-02-07;wheat;ARS;12100
2020-02-07;sorghum;ARS;8100
2020-02-07;soybeans;ARS;15100
2020-02-07;sunflower;ARS;14900
2020-02-10;soybeans;ARS;15200
2020-02-10;corn;ARS;9200
2020-02-10;sunflower;ARS;14900
2020-02-10;wheat;ARS;12100
2020-02-10;sorghum;ARS;8100
2020-02-11;sunflower;ARS;14930
2020-02-11;corn;ARS;9300
2020-02-11;soybeans;ARS;15100
2020-02-11;sorghum;ARS;8150
2020-02-11;wheat;ARS;12100
2020-02-12;wheat;ARS;12200
2020-02-12;soybeans;ARS;15250
2020-02-12;sunflower;ARS;14960
2020-02-12;sorghum;ARS;8200
2020-02-12;corn;ARS;9450
2020-02-13;soybeans;ARS;15300
2020-02-13;sunflower;ARS;14990
2020-02-13;sorghum;ARS;8200
2020-02-13;corn;ARS;9400
2020-02-13;wheat;ARS;12000
2020-02-14;sorghum;ARS;8200
2020-02-14;soybeans;ARS;15300
2020-02-14;corn;ARS;9200
2020-02-14;sunflower;ARS;15000
2020-02-14;wheat;ARS;11900
2020-02-17;sorghum;ARS;8200
2020-02-17;soybeans;ARS;15300
2020-02-17;corn;ARS;9000
2020-02-17;sunflower;ARS;15050
2020-02-17;wheat;ARS;11900
2020-02-18;sunflower;ARS;15050
2020-02-18;corn;ARS;9000
2020-02-18;soybeans;ARS;15400
2020-02-18;sorghum;ARS;8200
2020-02-18;wheat;ARS;12000
2020-02-19;sunflower;ARS;15000
2020-02-19;corn;ARS;8620
2020-02-19;soybeans;ARS;15150
2020-02-19;wheat;ARS;12000
2020-02-19;sorghum;ARS;8200
2020-02-20;sunflower;ARS;15000
2020-02-20;corn;ARS;8620
2020-02-20;wheat;ARS;12000
2020-02-20;sorghum;ARS;8200
2020-02-20;soybeans;ARS;15000
2020-02-21;wheat;ARS;12000
2020-02-21;sunflower;ARS;15000
2020-02-21;corn;ARS;8630
2020-02-21;soybeans;ARS;14650
2020-02-21;sorghum;ARS;8200
2020-02-26;sunflower;ARS;14850
2020-02-26;soybeans;ARS;14000
2020-02-26;corn;ARS;8170
2020-02-26;wheat;ARS;12000
2020-02-26;sorghum;ARS;8200
2020-02-27;wheat;ARS;12000
2020-02-27;soybeans;ARS;13700
2020-02-27;sorghum;ARS;8100
2020-02-27;sunflower;ARS;14870
2020-02-27;corn;ARS;8050
2020-02-28;sorghum;ARS;8100
2020-02-28;sunflower;ARS;14890
2020-02-28;wheat;ARS;12080
2020-02-28;corn;ARS;8150
2020-02-28;soybeans;ARS;14000
2020-03-02;sorghum;ARS;8100
2020-03-03;soybeans;ARS;14300
2020-03-03;corn;ARS;8550
2020-03-03;sunflower;ARS;14170
2020-03-03;sorghum;ARS;8100
2020-03-03;wheat;ARS;12420
2020-03-04;sunflower;ARS;13680
2020-03-04;sorghum;ARS;8100
