date;usd_ars_sell
1899-12-31;8.41
2014-10-31;8.5
2014-11-03;8.5
2014-11-04;8.51
2014-11-05;8.51
2014-11-06;8.51
2014-11-07;8.51
2014-11-10;8.51
2014-11-11;8.51
2014-11-12;8.51
2014-11-13;8.51
2014-11-14;8.51
2014-11-17;8.51
2014-11-18;8.51
2014-11-19;8.52
2014-11-21;8.52
2014-11-24;8.52
2014-11-25;8.53
2014-11-26;8.53
2014-11-27;8.53
2014-11-28;8.53
2014-12-01;8.54
2014-12-02;8.54
2014-12-03;8.55
2014-12-04;8.55
2014-12-05;8.55
2014-12-09;8.56
2014-12-10;8.56
2014-12-11;8.56
2014-12-12;8.56
2014-12-15;8.56
2014-12-16;8.56
2014-12-17;8.56
2014-12-18;8.56
2014-12-19;8.56
2014-12-22;8.56
2014-12-23;8.56
2014-12-29;8.56
2015-01-07;8.59
2015-01-08;8.6
2015-01-09;8.6
2015-01-12;8.6
2015-01-14;8.6
2015-01-15;8.6
2015-01-16;8.61
2015-01-19;8.61
2015-01-20;8.61
2015-01-22;8.63
2015-01-23;8.63
2015-01-26;8.63
2015-01-27;8.63
2015-01-28;8.64
2015-01-29;8.64
2015-01-30;8.65
2015-02-02;8.66
2015-02-03;8.66
2015-02-04;8.66
2015-02-05;8.66
2015-02-06;8.66
2015-02-09;8.67
2015-02-10;8.68
2015-02-11;8.68
2015-02-12;8.68
2015-02-13;8.69
2015-02-18;8.7
2015-02-19;8.7
2015-02-20;8.71
2015-02-23;8.71
2015-02-24;8.72
2015-02-25;8.73
2015-02-26;8.73
2015-02-27;8.73
2015-03-02;8.74
2015-03-03;8.74
2015-03-04;8.75
2015-03-05;8.75
2015-03-06;8.76
2015-03-09;8.77
2015-03-10;8.77
2015-03-11;8.78
2015-03-12;8.79
2015-03-13;8.79
2015-03-16;8.79
2015-03-17;8.79
2015-03-18;8.8
2015-03-19;8.8
2015-03-20;8.8
2015-03-25;8.81
2015-03-26;8.81
2015-03-27;8.81
2015-03-30;8.82
2015-03-31;8.82
2015-04-01;8.83
2015-04-06;8.84
2015-04-07;8.84
2015-04-08;8.84
2015-04-09;8.85
2015-04-10;8.85
2015-04-13;8.86
2015-04-14;8.86
2015-04-15;8.87
2015-04-16;8.87
2015-04-17;8.87
2015-04-20;8.88
2015-04-21;8.88
2015-04-22;8.88
2015-04-23;8.89
2015-04-24;8.89
2015-04-27;8.9
2015-04-28;8.9
2015-04-29;8.91
2015-04-30;8.91
2015-05-04;8.92
2015-05-11;8.94
2015-05-12;8.94
2015-05-13;8.95
2015-05-14;8.95
2015-05-15;8.95
2015-05-18;8.96
2015-05-19;8.96
2015-05-20;8.97
2015-05-21;8.97
2015-05-26;8.98
2015-05-27;8.99
2015-05-28;8.99
2015-06-01;9
2015-06-02;9.01
2015-06-03;9.1
2015-06-04;9.15
2015-06-05;9.15
2015-06-08;9.2
2015-06-09;9.25
2015-06-10;9.3
2015-06-11;9.35
2015-06-15;9.05
2015-06-16;9.05
2015-06-17;9.05
2015-06-18;9.06
2015-06-19;9.06
2015-06-22;9.07
2015-06-23;9.07
2015-06-24;9.08
2015-06-25;9.08
2015-06-26;9.08
2015-06-29;9.09
2015-06-30;9.09
2015-07-01;9.1
2015-07-02;9.1
2015-07-03;9.11
2015-07-06;9.11
2015-07-10;9.13
2015-07-13;9.13
2015-07-15;9.14
2015-07-16;9.15
2015-07-20;9.16
2015-07-21;9.16
2015-07-22;9.17
2015-07-23;9.17
2015-07-24;9.18
2015-07-27;9.18
2015-07-28;9.18
2015-07-29;9.19
2015-07-30;9.19
2015-07-31;9.2
2015-08-03;9.2
2015-08-04;9.21
2015-08-05;9.21
2015-08-06;9.22
2015-08-07;9.22
2015-08-10;9.23
2015-08-11;9.23
2015-08-12;9.24
2015-08-13;9.24
2015-08-14;9.25
2015-08-18;9.25
2015-08-19;9.26
2015-08-20;9.26
2015-08-21;9.27
2015-08-24;9.27
2015-08-25;9.28
2015-08-26;9.28
2015-08-27;9.29
2015-08-28;9.3
2015-08-31;9.3
2015-09-01;9.31
2015-09-02;9.32
2015-09-03;9.32
2015-09-04;9.33
2015-09-07;9.34
2015-09-08;9.35
2015-09-09;9.35
2015-09-10;8.89
2015-09-11;9.36
2015-09-14;9.37
2015-09-15;9.28
2015-09-16;9.2
2015-09-17;9.38
2015-09-18;9.39
2015-09-21;9.39
2015-09-22;9.4
2015-09-23;9.4
2015-09-24;9.41
2015-09-25;9.42
2015-09-28;9.42
2015-09-29;9.42
2015-09-30;9.43
2015-10-01;9.43
2015-10-05;9.45
2015-10-06;9.46
2015-10-08;9.47
2015-10-09;9.47
2015-10-13;9.48
2015-10-14;9.49
2015-10-15;9.49
2015-10-16;9.5
2015-10-19;9.5
