currency;date;price;id_articulo
USD;2019-07-04;181.42;54609
USD;2020-03-30;168.13;54609
USD;2020-09-07;176.09;54609
USD;2020-09-21;187.31;54609
USD;2021-07-20;188.7;54609
USD;2022-04-25;191.67;54609
USD;2022-11-14;197.42;54609
USD;2023-04-05;200.17;54609
USD;2023-04-21;203.35;54609
USD;2024-03-20;209.73;54609
USD;2025-02-25;203.13;54609
USD;2025-04-03;172.05;54609
USD;2019-05-24;8.88;55412
USD;2020-03-17;8.66;55412
USD;2021-10-22;8.99;55412
USD;2021-11-09;9.55;55412
USD;2022-02-12;12.1;55412
USD;2022-05-24;13.88;55412
USD;2022-07-18;14.99;55412
USD;2023-06-23;13.88;55412
USD;2024-01-12;12.77;55412
USD;2024-04-10;11.88;55412
USD;2024-06-25;10.55;55412
USD;2024-09-11;9.1;55412
USD;2024-10-25;8.1;55412
USD;2025-03-05;7.22;55412
USD;2025-09-03;6.66;55412
USD;2025-12-03;6.44;55412
USD;2016-01-01;288.8;4951
USD;2016-06-03;294.4;4951
USD;2016-08-12;272;4951
USD;2017-03-13;260.8;4951
USD;2017-08-22;255.2;4951
USD;2018-07-20;260.8;4951
USD;2018-08-03;266.4;4951
USD;2018-08-22;277.6;4951
USD;2019-01-31;272;4951
USD;2019-02-25;266.4;4951
USD;2019-05-06;260.8;4951
USD;2019-08-09;249.6;4951
USD;2020-04-15;244;4951
USD;2020-06-18;255.2;4951
USD;2020-07-02;260.8;4951
USD;2021-01-07;266.4;4951
USD;2021-01-14;277.6;4951
USD;2021-01-22;294.4;4951
USD;2021-02-01;305.6;4951
USD;2021-02-11;316.8;4951
USD;2021-02-22;328;4951
USD;2021-06-09;356;4951
USD;2021-06-14;367.2;4951
USD;2021-06-17;389.6;4951
USD;2021-07-08;406.4;4951
USD;2021-09-28;417.6;4951
USD;2021-10-21;428.8;4951
USD;2022-01-24;432.5;4951
USD;2022-02-12;449;4951
USD;2022-03-03;454.5;4951
USD;2022-03-05;482;4951
USD;2022-03-08;537;4951
USD;2022-03-10;570;4951
USD;2022-03-11;581;4951
USD;2022-03-26;619.5;4951
USD;2022-04-09;691;4951
USD;2022-04-19;702;4951
USD;2022-05-25;713;4951
USD;2022-06-13;702;4951
USD;2022-06-25;674.5;4951
USD;2022-07-25;669;4951
USD;2022-08-16;658;4951
USD;2022-08-27;636;4951
USD;2022-09-12;592;4951
USD;2022-09-16;542.5;4951
USD;2022-09-29;515;4951
USD;2022-10-06;509.5;4951
USD;2022-10-19;504;4951
USD;2022-11-03;471;4951
USD;2022-11-24;454.5;4951
USD;2022-12-15;443.5;4951
USD;2023-04-01;471;4951
USD;2023-05-15;454.5;4951
USD;2023-06-23;438;4951
USD;2023-07-27;460;4951
USD;2023-07-29;476.5;4951
USD;2023-08-04;482;4951
USD;2023-11-01;493;4951
USD;2023-11-09;515;4951
USD;2023-11-23;526;4951
USD;2023-12-16;559;4951
USD;2024-02-27;493;4951
USD;2024-04-30;432.5;4951
USD;2024-06-26;421.5;4951
USD;2024-07-30;432.5;4951
USD;2024-09-03;427;4951
USD;2024-09-26;410.5;4951
USD;2024-10-28;399.5;4951
USD;2024-12-03;394;4951
USD;2025-03-26;371;4951
USD;2025-06-02;398;4951
USD;2025-06-24;425;4951
USD;2025-08-13;408.8;4951
USD;2025-11-05;398;4951
USD;2025-12-03;387.2;4951
USD;2020-01-01;255.3;59019
USD;2023-07-27;248.64;59019
USD;2024-10-16;216.45;59019
USD;2016-08-31;31.13;43519
USD;2017-07-31;28.49;43519
USD;2019-08-03;33.22;43519
USD;2020-03-18;36.63;43519
USD;2020-05-15;33;43519
USD;2020-07-15;33.55;43519
USD;2020-08-20;34.06;43519
USD;2021-03-15;34.65;43519
USD;2021-04-26;35.75;43519
USD;2021-05-17;36.85;43519
USD;2021-07-14;38.28;43519
USD;2021-09-07;39.11;43519
USD;2021-12-30;41.03;43519
USD;2022-03-16;42.02;43519
USD;2023-04-19;43.95;43519
USD;2024-09-13;39.49;43519
USD;2025-09-02;38.5;43519
USD;2018-07-02;38.85;44016
USD;2020-03-02;37.19;44016
USD;2020-07-01;36.63;44016
USD;2021-04-22;32.75;44016
USD;2022-09-15;31.64;44016
USD;2023-04-15;27.2;44016
USD;2023-07-27;27.64;44016
USD;2024-01-12;26.53;44016
USD;2024-06-25;25.64;44016
USD;2024-08-13;24.59;44016
USD;2024-09-11;23.98;44016
USD;2024-10-25;23.31;44016
USD;2025-03-05;21.09;44016
USD;2025-07-05;19.76;44016
USD;2025-09-03;18.87;44016
USD;2016-06-24;12.88;60144
USD;2017-03-24;11.98;60144
USD;2017-05-04;10.75;60144
USD;2018-05-30;10.19;60144
USD;2018-08-15;9.74;60144
USD;2021-03-31;9.66;60144
USD;2024-06-25;8.44;60144
USD;2024-09-11;7.99;60144
USD;2025-07-05;7.55;60144
USD;2025-09-03;6.77;60144
USD;2018-04-13;3.27;39556
USD;2019-05-22;3.16;39556
USD;2020-03-02;3.05;39556
USD;2021-02-23;3.55;39556
USD;2021-03-31;3.66;39556
USD;2021-09-15;3.77;39556
USD;2021-10-07;3.89;39556
USD;2021-11-04;4.16;39556
USD;2022-02-12;6.94;39556
USD;2022-09-15;6.66;39556
USD;2022-11-04;6.55;39556
USD;2023-04-15;6.33;39556
USD;2024-01-12;5.99;39556
USD;2024-04-10;5.33;39556
USD;2024-05-29;5;39556
USD;2024-06-25;4.83;39556
USD;2024-10-16;4.66;39556
USD;2025-03-05;4.22;39556
USD;2025-04-24;3.89;39556
USD;2025-09-03;3.77;39556
USD;2025-12-03;3.44;39556
USD;2020-01-01;5.22;58001
USD;2021-03-31;5.44;58001
USD;2021-07-09;5.66;58001
USD;2021-10-19;7.22;58001
USD;2022-11-04;6.94;58001
USD;2023-06-23;6.44;58001
USD;2023-07-19;6.22;58001
USD;2024-06-25;5.99;58001
USD;2024-08-13;5.66;58001
USD;2025-03-05;5.11;58001
USD;2025-09-03;4.77;58001
USD;2025-12-03;4.44;58001
USD;2016-07-06;4.07;35182
